procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 6505120   1224 230232    0    0     6     1   36   86  0  1 99  0  0
 1  0      0 6504868   1224 230300    0    0     0     0 1037 2223  1  2 97  0  0
 1  0      0 6504616   1224 230304    0    0     0     0  208  578  0  1 99  0  0
 0  0      0 6504616   1224 230304    0    0     0     0  147  434  1  1 99  0  0
 0  0      0 6504616   1224 230304    0    0     0     0  175  534  0  0 99  0  0
 0  0      0 6506432   1232 230296    0    0     0    36  184  535  0  1 98  0  0
 0  0      0 6506432   1232 230304    0    0     0     8  106  329  1  0 99  0  0
 0  0      0 6506432   1232 230304    0    0     0     0  102  328  0  0 100  0  0
 0  0      0 6505948   1232 230304    0    0     0     0  109  344  0  1 99  0  0
 0  0      0 6505948   1232 230304    0    0     0     0  175  539  0  1 99  0  0
 0  0      0 6505444   1240 230300    0    0     0    24  180  527  0  0 99  0  0
 0  0      0 6505476   1240 230304    0    0     0     0  108  346  0  0 100  0  0
 0  0      0 6505476   1240 230304    0    0     0     0  105  326  0  0 100  0  0
 0  0      0 6505476   1240 230304    0    0     0     0   84  286  0  0 100  0  0
 0  0      0 6505420   1240 230304    0    0     0     0  183  559  0  1 99  0  0
 0  0      0 6505476   1248 230304    0    0     0    16  181  517  0  1 99  0  0
 0  0      0 6505476   1248 230304    0    0     0     0  103  335  0  0 99  0  0
 0  0      0 6505476   1248 230304    0    0     0     0  103  316  0  1 99  0  0
 0  0      0 6505476   1248 230304    0    0     0     0  101  326  0  0 100  0  0
 0  0      0 6505732   1248 230304    0    0     0     0  176  536  0  1 99  0  0
 0  0      0 6505228   1256 230304    0    0     0    16  182  527  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6505480   1256 230304    0    0     0     0  107  327  0  1 99  0  0
 0  0      0 6505512   1256 230304    0    0     0     0  106  330  0  0 100  0  0
 0  0      0 6505512   1256 230304    0    0     0     0   81  274  0  0 100  0  0
 0  0      0 6505012   1256 230304    0    0     0     0  291  809  0  1 98  0  0
 0  0      0 6505516   1264 230296    0    0     0    16  288  778  0  1 99  0  0
 0  0      0 6505780   1264 230324    0    0     0     0  994 2136  1  1 98  0  0
 0  0      0 6505780   1264 230324    0    0     0     0  103  327  0  0 100  0  0
 0  0      0 6505780   1264 230324    0    0     0     0  128  395  0  0 100  0  0
 0  0      0 6505528   1264 230324    0    0     0     0  196  586  0  1 99  0  0
